rank,brand,name,original_price,sale_price,discount_pct,url,raw_name
1,SPF50+ PA++++,Beauty of Joseon Relief Sun: Rice + Probiotics (SPF50+ PA++++) Double Pack 50mL*2ea,30.0,30.0,,https://global.oliveyoung.com/product/detail?prdtNo=GA220615265,Beauty of Joseon Relief Sun: Rice + Probiotics (SPF50+ PA++++) Double Pack 50mL*2ea
2,TRIPLE,[TRIPLE] ROUND LAB Birch Juice Moisturizing Sunscreen 50ml Triple Set,52.0,52.0,,https://global.oliveyoung.com/product/detail?prdtNo=GA250430113,[TRIPLE] ROUND LAB Birch Juice Moisturizing Sunscreen 50ml Triple Set
3,VT,VT PDRN Reedle Shot Hair Ampoule 15ml 1 out of 3 options,67.0,67.0,,https://global.oliveyoung.com/product/detail?prdtNo=GA250530893,VT PDRN Reedle Shot Hair Ampoule 15ml 1 out of 3 options
4,SKIN1004,SKIN1004 Madagascar Centella Hyalu-Cica Water-Fit Sun Serum 50mL*2ea (Twin pack),28.0,28.0,,https://global.oliveyoung.com/product/detail?prdtNo=GA230518746,SKIN1004 Madagascar Centella Hyalu-Cica Water-Fit Sun Serum 50mL*2ea (Twin pack)
5,Beauty,Beauty of Joseon Relief Sun Aqua Fresh Rice+B5 50ml*2ea,30.0,30.0,,https://global.oliveyoung.com/product/detail?prdtNo=GA241227407,Beauty of Joseon Relief Sun Aqua Fresh Rice+B5 50ml*2ea
6,MEDIHEAL,MEDIHEAL Toner Pad 100+100 Pads Double Pack (8types),44.0,44.0,,https://global.oliveyoung.com/product/detail?prdtNo=GA220815950,MEDIHEAL Toner Pad 100+100 Pads Double Pack (8types)
7,beplain,beplain Mung Bean pH-Balancing Cleansing Foam 160ml+160ml,31.0,31.0,,https://global.oliveyoung.com/product/detail?prdtNo=GA250329175,beplain Mung Bean pH-Balancing Cleansing Foam 160ml+160ml
8,medicube,medicube PDRN Pink Peptide Serum 30ml Refill Set (+Refill Pack 50ml),61.0,61.0,,https://global.oliveyoung.com/product/detail?prdtNo=GA250530656,medicube PDRN Pink Peptide Serum 30ml Refill Set (+Refill Pack 50ml)
9,goodal,goodal Green Tangerine Vita-C Dark Spot Care Serum α 50ml Refill Set (+Cream 10ml),50.0,50.0,,https://global.oliveyoung.com/product/detail?prdtNo=GA250732235,goodal Green Tangerine Vita-C Dark Spot Care Serum α 50ml Refill Set (+Cream 10ml)
10,AESTURA,AESTURA Atobarrier 365 Cream 80mL,44.0,44.0,,https://global.oliveyoung.com/product/detail?prdtNo=GA240121573,AESTURA Atobarrier 365 Cream 80mL
11,Anua,Anua Niacinamide 10%+TXA 4% Dark Spot Correcting Serum 30ml Special Set (+PDRN Hyaluronic Capsule 100 Serum 5ml),30.0,30.0,,https://global.oliveyoung.com/product/detail?prdtNo=GA241126972,Anua Niacinamide 10%+TXA 4% Dark Spot Correcting Serum 30ml Special Set (+PDRN Hyaluronic Capsule 100 Serum 5ml)
12,numbuzin,numbuzin No.5+ Vitamin Concentrated Serum 30mL+30mL Duo Set,42.0,42.0,,https://global.oliveyoung.com/product/detail?prdtNo=GA230820183,numbuzin No.5+ Vitamin Concentrated Serum 30mL+30mL Duo Set
13,Dr.,Dr. Althea 345 Relief Cream 50ml Double Pack,70.0,70.0,,https://global.oliveyoung.com/product/detail?prdtNo=GA250530938,Dr. Althea 345 Relief Cream 50ml Double Pack
